상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
17498778	미니스톱	수원기산점	D	소매	D03	종합소매점	D03A01	편의점	G47122	체인화 편의점	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	68	47	경기도 수원시 장안구 정자동 68-47	4.11114E+11	경기도 수원시 장안구 영화로86번길	8		4.11111E+24		경기도 수원시 장안구 영화로86번길 8	440833	16311		1		127.0063887	37.29411386
17466156	크라상점	수원정자점	Q	음식	Q08	제과제빵떡케익	Q08A01	제과점	I56191	제과점업	41	경기도	41111	수원시 장안구	4111157300	정자3동	4111113000	정자동	4.11111E+18	1	대지	872	2	경기도 수원시 장안구 정자동 872-2	4.11114E+11	경기도 수원시 장안구 대평로90번길	19		4.11111E+24	라이프스포츠수원	경기도 수원시 장안구 대평로90번길 19	440841	16334		1		126.9937504	37.29712484
17460617	야한게장		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	2	1	경기도 수원시 장안구 정자동 2-1	4.11113E+11	경기도 수원시 장안구 정조로	979		4.11111E+24		경기도 수원시 장안구 정조로 979	440830	16311		1		127.009761	37.29411509
17516000	팩트		Q	음식	Q09	유흥주점	Q09A10	룸살롱/단란주점	I56211	일반유흥 주점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	18	9	경기도 성남시 분당구 정자동 18-9	4.11354E+11	경기도 성남시 분당구 정자일로198번길	22		4.11351E+24		경기도 성남시 분당구 정자일로198번길 22	463847	13558		1		127.1073036	37.36717607
17530378	제철소리		Q	음식	Q03	일식/수산물	Q03A02	음식점-일식	I56113	일식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	23	1	경기도 성남시 분당구 정자동 23-1	4.11353E+11	경기도 성남시 분당구 정자일로	192		4.11351E+24	지파크프라자	경기도 성남시 분당구 정자일로 192	463847	13558		2		127.1062852	37.36737563
17461869	긱스피자		Q	음식	Q06	양식	Q06A01	정통양식/경양식	I56114	서양식 음식점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	43	8	경기도 성남시 분당구 정자동 43-8	4.11354E+11	경기도 성남시 분당구 내정로119번길	18		4.11351E+24		경기도 성남시 분당구 내정로119번길 18	463848	13609		1		127.1140432	37.37200247
17515847	뷰티피부관리실		F	생활서비스	F01	이/미용/건강	F01A03	비만/피부관리			41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	88		경기도 성남시 분당구 정자동 88	4.11353E+11	경기도 성남시 분당구 느티로	70		4.11351E+24	느티마을공무원아파트	경기도 성남시 분당구 느티로 70	463744	13611	상가			127.110374	37.36816336
17471665	피자스톰	분당점	Q	음식	Q07	패스트푸드	Q07A01	피자전문	I56192	피자, 햄버거, 샌드위치 및 유사 음식점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	41	5	경기도 성남시 분당구 정자동 41-5	4.11354E+11	경기도 성남시 분당구 백현로150번길	17	4	4.11351E+24		경기도 성남시 분당구 백현로150번길 17-4	463848	13609		1		127.1135842	37.37167464
17481087	커틸다헤어살롱	정자점	F	생활서비스	F01	이/미용/건강	F01A01	여성미용실	S96112	두발미용업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	174	1	경기도 성남시 분당구 정자동 174-1	4.11353E+11	경기도 성남시 분당구 정자일로	121		4.11351E+24	더샵스타파크	경기도 성남시 분당구 정자일로 121	463872	13560	상가	1		127.1055328	37.3613327
17523017	오리엔탈게이트		Q	음식	Q10	별식/퓨전요리	Q10A08	동남아음식전문점	I56119	기타 외국식 음식점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	126	2	경기도 성남시 분당구 정자동 126-2	4.11353E+11	경기도 성남시 분당구 정자로	80		4.11351E+24	정자프라자	경기도 성남시 분당구 정자로 80	463834	13612		1		127.1137857	37.36317897
